Nivå	HTG	HT	GT_nr	Basic type	S_kode	Name		KLG_RE-IA	KLG_RE-ID-KF	KLG_RE-KS	KLG_KA	KLG_IYK	KLG_IP	KLG_BP	KLG_VP	KLG_VE	KLG_AI	KLG_AI-KS	KLG_JP	Pred_Lnr	Naturlandskap
LA	I	ID	25	ID-25	LA-ID-25	Åpent dallandskap i lavlandet med innlandsfjord, tettsted og høyt jordbrukspreg	Open valley with larger lake with village and agriculture		KLG_RE-ID-KF-1				KLG_IP-3	KLG_BP-1		KLG_VE-1	KLG_AI-3		KLG_JP-2	79	0
LA	I	ID	26	ID-26	LA-ID-26	Åpent dallandskap i lavlandet med innlandsfjord og større by 	Open valley with larger lake with city 		KLG_RE-ID-KF-1				KLG_IP-3	KLG_BP-1		KLG_VE-1	KLG_AI-4		KLG_JP-1	80	0
LA	I	ID	27	ID-27	LA-ID-27	Åpent dallandskap ved skoggrensen med innlandsfjord 	Open lower mountain valley with larger lake 		KLG_RE-ID-KF-1				KLG_IP-3	KLG_BP-1		KLG_VE-2	KLG_AI-1		KLG_JP-1	81	1
LA	I	ID	28	ID-28	LA-ID-28	Åpent dallandskap ved skoggrensen med innlandsfjord og bebyggelse/infrastruktur	Open lower mountain valley with larger lake with settlements 		KLG_RE-ID-KF-1				KLG_IP-3	KLG_BP-1		KLG_VE-2	KLG_AI-2		KLG_JP-1	82	0
LA	I	ID	29	ID-29	LA-ID-29	Åpent dallandskap ved skoggrensen med innlandsfjord og tettsted 	Open lower mountain valley with larger lake with village 		KLG_RE-ID-KF-1				KLG_IP-3	KLG_BP-1		KLG_VE-2	KLG_AI-3		KLG_JP-1	83	0
LA	I	ID	3	ID-3	LA-ID-3	Åpent dallandskap i lavlandet med bebyggelse/infrastruktur	Open valley with settlements 		KLG_RE-ID-KF-1				KLG_IP-1	KLG_BP-1		KLG_VE-1	KLG_AI-2		KLG_JP-1	57	0
LA	I	ID	30	ID-30	LA-ID-30	Åpent dallandskap i fjellet med vegetasjonsdekke og innlandsfjord 	Open mountain valley with larger lake 		KLG_RE-ID-KF-1				KLG_IP-3	KLG_BP-1		KLG_VE-3	KLG_AI-1		KLG_JP-1	84	1
LA	I	ID	31	ID-31	LA-ID-31	Åpent dallandskap med bart fjell/blokkmark og innlandsfjord 	Open barren mountain valley with larger lake 		KLG_RE-ID-KF-1				KLG_IP-3	KLG_BP-1		KLG_VE-4	KLG_AI-1		KLG_JP-1	85	1
LA	I	ID	32	ID-32	LA-ID-32	Relativt åpent dallandskap i lavlandet	Relatively open valley 		KLG_RE-ID-KF-2				KLG_IP-1	KLG_BP-1		KLG_VE-1	KLG_AI-1		KLG_JP-1	86	1
LA	I	ID	33	ID-33	LA-ID-33	Relativt åpent dallandskap i lavlandet med høyt jordbrukspreg	Relatively open valley and agriculture		KLG_RE-ID-KF-2				KLG_IP-1	KLG_BP-1		KLG_VE-1	KLG_AI-1		KLG_JP-2	87	1
LA	I	ID	34	ID-34	LA-ID-34	Relativt åpent dallandskap i lavlandet med bebyggelse/infrastruktur	Relatively open valley with settlements 		KLG_RE-ID-KF-2				KLG_IP-1	KLG_BP-1		KLG_VE-1	KLG_AI-2		KLG_JP-1	88	0
LA	I	ID	35	ID-35	LA-ID-35	Relativt åpent dallandskap i lavlandet med bebyggelse/infrastruktur og høyt jordbrukspreg	Relatively open valley with settlements and agriculture		KLG_RE-ID-KF-2				KLG_IP-1	KLG_BP-1		KLG_VE-1	KLG_AI-2		KLG_JP-2	89	0
LA	I	ID	36	ID-36	LA-ID-36	Relativt åpent dallandskap i lavlandet med tettsted 	Relatively open valley with village 		KLG_RE-ID-KF-2				KLG_IP-1	KLG_BP-1		KLG_VE-1	KLG_AI-3		KLG_JP-1	90	0
LA	I	ID	37	ID-37	LA-ID-37	Relativt åpent dallandskap i lavlandet med tettsted og høyt jordbrukspreg	Relatively open valley with village and agriculture		KLG_RE-ID-KF-2				KLG_IP-1	KLG_BP-1		KLG_VE-1	KLG_AI-3		KLG_JP-2	91	0
LA	I	ID	38	ID-38	LA-ID-38	Relativt åpent dallandskap ved skoggrensen 	Relatively open lower mountain valley 		KLG_RE-ID-KF-2				KLG_IP-1	KLG_BP-1		KLG_VE-2	KLG_AI-1		KLG_JP-1	92	1
LA	I	ID	39	ID-39	LA-ID-39	Relativt åpent dallandskap ved skoggrensen med bebyggelse/infrastruktur	Relatively open lower mountain valley with settlements 		KLG_RE-ID-KF-2				KLG_IP-1	KLG_BP-1		KLG_VE-2	KLG_AI-2		KLG_JP-1	93	0
